Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-038,Siantar Top-Sda,,Japfa Buduran,038JPB,60,00
C-038,Siantar Top-Sda,,STP Manyar,038STM,68,00
C-042,KIG-Gresik,,Wonokoyo,042WKY,67,00
C-045,Cpi Sepanjang,SBY-19 ,Cpp Dupak,045CPD,47,50
C-045,Bogasari,SBY-16 ,Cpp Sepanjang,045CPS,50,00
C-045,Margomulyo,SBY-03 ,CPI Krian,045CIK,49,87
C-048,Sinar Unigrain Indonesia,SBY-09 ,Sorini-Pasuruan,048SRP,128,00
C-048,CARGILL SORINI,SBY-28 ,SINAR ANEKA NIAGA,048SAN,110,00
C-049,Jamrud,SBY-10 ,Cpi Krian,049CIK,46,50
C-049,Jamrud,SBY-10 ,CJ Feed Jombang,049CFJ,67,50
C-049,Jamrud,SBY-10 ,Sumber Asia-Kletek,049SAK,45,00
C-049,Jamrud,SBY-10 ,Cpi Sepanjang,049CIS,45,00
C-049,Jamrud,SBY-10 ,Margomulyo,049MGM,27,50
C-049,Jamrud,SBY-10 ,New Hope Kletek,049NHK,45,00
C-049,Jamrud,SBY-10 ,Romokalisari,049RMK,28,00
C-049,Jamrud,SBY-10 ,Malindo Gresik,049MAL,44,00
C-049,Jamrud,SBY-10 ,JCI Sidoarjo,049JCS,46,50
C-049,Jamrud,SBY-10 ,Wonokoyo,049WKY,50,00
C-049,Jamrud,SBY-10 ,CV.Prima Sejahtera-Kediri,049PRIM,80,00
C-049,Jamrud,SBY-10 ,PT. SMP - Krian,049SMK,46,50
C-049,Subur-Krian,,CV.Prima Sejahtera-Kediri,049PRIM,75,00
C-049,Subur-Krian,,Sreeya Sewu SDA,049SRS,30,00
C-049,Subur-Krian,,Cpi Krian,049CIK,30,00
C-049,Subur-Krian,,Cpi Sepanjang,049CIS,30,00
C-049,Jamrud,SBY-10 ,Malindo Margomulyo,049MGM,27,50
C-049,Jamrud,SBY-10 ,JCI Margomulyo,049JCM,27,50
C-049,Jamrud,SBY-10 ,JCI Buduran,049JCB,46,50
